character,dialogue,episode
DERLIN,Okay. Everyone to your stations. Lets go,episode V
RIEEKAN,Their primary target will be the power generators. Prepare to  open the shield.,episode V
CONTROLLER,"Sir, Rebel ships are coming into our sector.",episode V
CAPTAIN,Good. Our first catch of the day.,episode V
WOMAN CONTROLLER,"Stand by, ion control....Fire",episode V
ANNOUNCER,The first transport is away.,episode V
DACK,"Feeling all right, sir",episode V
LUKE,"Just like new, Dack. How about you",episode V
DACK,Right now I feel I could take on the whole Empire myself.,episode V
LUKE,I know what you mean.,episode V
TRENCH OFFICER,Echo Station Three-T-Eight.,episode V
TRENCH OFFICER,We have spotted Imperial walkers,episode V
CONTROLLER,Imperial walkers on the north ridge.,episode V
LUKE,Echo station Five-Seven. Were on our way.,episode V
LUKE,"All right, boys, keep tight now.",episode V
DACK,"Luke, I have no approach vector. Im not set.",episode V
LUKE,"Steady, Dack. Attack pattern delta. Go now",episode V
LUKE,"All right, Im coming in.",episode V
LUKE,"Hobbie, you still with me",episode V
LUKE,That armors too strong for blasters.,episode V
LUKE,"Rouge Group, use your harpoons and tow cables. Go  for the legs. It might be our only chance of stopping them.  All right, stand by, Dack.",episode V
DACK,"Luke, weve got a malfunction in fire control. Ill have to cut  in the auxiliary.",episode V
LUKE,"Just hang on. Hang on, Dack. Get ready to fire that tow cable.",episode V
LUKE,Dack Dack,episode V
VEERS,"Yes, Lord Vader. Ive reached the main power generator. The  shield will be down in moments. You may start your landing.",episode V
LUKE,Rouge Three.,episode V
WEDGE,"Copy, Rouge Leader",episode V
LUKE,"Wedge, Ive lost my gunner. Youll have to make  this shot. Ill cover for you. Set your harpoon. Follow me on the next pass.",episode V
WEDGE,"Coming around, Rouge Leader.",episode V
LUKE,"Steady, Rouge Two",episode V
WEDGE,Activate harpoon.,episode V
WEDGE,"Good shot, Janson.",episode V
WEDGE,One more pass.,episode V
JANSON,Coming around. Once more.,episode V
JANSON,One more.,episode V
JANSON,Cable out Let her go,episode V
WEDGE,Detach cable.,episode V
JANSON,Cable detached.,episode V
TRENCH OFFICER,Come on,episode V
WEDGE,Whooha That got him,episode V
LUKE,"I see it, Wedge. Good work.",episode V
RIEEKAN,I dont think we can protect two transports at a time.,episode V
LEIA,"Its risky, but we cant hold out much longer. We have no  choice.",episode V
RIEEKAN,Launch patrols.,episode V
LEIA,Evacuate remaining ground staff.,episode V
HAN,"No, no No This one goes there, that one goes there. right",episode V
THREEPIO,"Artoo, you take good care of Master Luke now, understand  And...do take care of yourself. Oh, dear, oh, dear.",episode V
VEERS,All troops will debark for ground assault. Prepare to target  the main generator.,episode V
LUKE,"Rouge Two, are you all right",episode V
ZEV,"Yeah. Im with you, Rouge Leader.",episode V
LUKE,Well set harpoon. Ill cover for you.,episode V
ZEV,Coming around.,episode V
LUKE,"Watch that cross fire, boys.",episode V
ZEV,Set for position three.  Steady.,episode V
LUKE,Stay tight and low.,episode V
LUKE,"Hobbie, Ive been hit",episode V
HAN,You all right,episode V
LEIA,Why are you still here,episode V
HAN,I heard the command center had been hit.,episode V
LEIA,You got your clearance to leave.,episode V
HAN,Dont worry. Ill leave. First Im going to get you to your ship.,episode V
THREEPIO,"Your Highness, we must take this last transport. Its our  only hope.",episode V
LEIA,Send all troops in sector twelve to the south  slope to protect the fighters.,episode V
ANNOUNCER,Imperial troops have entered the base.,episode V
HAN,Come on...thats it.,episode V
LEIA,Give the evacuation code signal. And get to  your transports,episode V
HEAD CONTROLLER,K-one-zero...all troops disengage.,episode V
THREEPIO,Oh Wait for me,episode V
OFFICER,Begin retreat,episode V
SECOND OFFICER,Fall back,episode V
VEERS,Distance to power generators,episode V
PILOT,"One-seven, decimal two-eight.",episode V
VEERS,Target. Maximum fire power.,episode V
HAN,"Transport, this is Solo. Better take off -- I  cant get to you. Ill get the princess out on the Falcon.",episode V
THREEPIO,But...but...but...where are you going Uh...come back,episode V
THREEPIO,Wait Wait for me Wait Stop,episode V
THREEPIO,How typical.,episode V
HAN,Come on.,episode V
HAN,"Hurry up, goldenrod, or youre going to be a permanent resident",episode V
THREEPIO,Wait Wait,episode V
HAN,Hows this,episode V
LEIA,Would it helped if I got out and pushed,episode V
HAN,It might.,episode V
THREEPIO,"Captain Solo, Captain Solo...sir, might I suggest that  you...",episode V
THREEPIO,It can wait.,episode V
LEIA,The bucket of bolts is never going to get us past that blockade.,episode V
HAN,"This babys got a few surprises left in her, sweetheart.",episode V
HAN,Come on Come on Switch over. Lets hope we dont have a  burnout.,episode V
HAN,See,episode V
LEIA,"Someday youre going to be wrong, and I hope Im there to see it.",episode V
HAN,Punch it,episode V
LUKE,Artoo Get her ready for takeoff.,episode V
WEDGE,"Good luck, Luke. See you at the rendezvous.",episode V
LUKE,"Dont worry, Artoo. Were going, were going.",episode V
LUKE,"Theres nothing wrong, Artoo. Im just setting a  new course.",episode V
LUKE,Were not going to regroup with the others.,episode V
LUKE,Were going to the Dagobah system.,episode V
LUKE,"Yes, Artoo",episode V
LUKE,Thats all right. Id like to keep it  on manual control for a while.,episode V
HAN,I saw them I saw them,episode V
LEIA,Saw what,episode V
HAN,"Star Destroyers, two of them, coming right at us.",episode V
THREEPIO,"Sir, sir Might I suggest...",episode V
HAN,Shut him up or shut him down  Check the  deflector shield,episode V
HAN,"Oh, great. Well, we can still outmaneuver them.",episode V
IMPERIAL OFFICER,Take evasive action,episode V
HAN,Prepare to make the jump to light-speed.,episode V
THREEPIO,"But, sir",episode V
LEIA,Theyre getting closer,episode V
HAN,Oh yeah Watch this.,episode V
LEIA,Watch what,episode V
HAN,I think were in trouble.,episode V
THREEPIO,"If I may say so, sir, I noticed earlier the hyperdrive  motivator has been damaged. Its impossible to go to light-speed",episode V
HAN,Were in trouble,episode V
HAN,Horizontal boosters...,episode V
HAN,Alluvial dampers... Well thats not it.,episode V
HAN,Bring me the hydrospanners,episode V
HAN,I dont know how were going to get out of this one.,episode V
HAN,Oww Chewie,episode V
HAN,That was no laser blast Something hit us.,episode V
LEIA,"Han, get up here",episode V
HAN,"Come on, Chewie",episode V
LEIA,Asteroids,episode V
HAN,"Oh, no Chewie, set two-seven-one.",episode V
LEIA,What are you doing Youre not actually going into an asteroid  field,episode V
HAN,"Theyd be crazy to follow us, wouldnt they",episode V
LEIA,You dont have to do this to impress me.,episode V
THREEPIO,"Sir, the possibility of successfully navigating an asteroid  field is approximately three thousand, seven hundred and twenty to one.",episode V
HAN,Never tell me the odds,episode V
HAN,"You said you wanted to be around when I made a mistake well,  this could be it, sweetheart.",episode V
LEIA,I take it back. Were going to get pulverized if we stay out  here much longer.,episode V
HAN,Im not going to argue with that.,episode V
THREEPIO,Pulverized,episode V
HAN,Im going in closer to one of the big ones.,episode V
LEIA,Closer,episode V
THREEPIO,Closer,episode V
THREEPIO,"Oh, this is suicide",episode V
HAN,There. That looks pretty good.,episode V
LEIA,What looks pretty good,episode V
HAN,Yeah. Thatll do nicely.,episode V
THREEPIO,"Excuse me, maam, but where are we going",episode V
LEIA,I hope you know what youre doing.,episode V
HAN,"Yeah, me too.",episode V
LUKE,"Yes, thats it. Dagobah.",episode V
LUKE,"No, Im not going to change my mind about this.   Im not picking up any cities or technology. Massive life-form readings, though. Theres something alive down there...",episode V
LUKE,"Yes, Im sure its perfectly safe for droids.",episode V
LUKE,"I know, I know All the scopes are dead. I cant  see a thing Just hang on, Im going to start the landing cycle...",episode V
LUKE,"No, Artoo, you stay put. Ill have a look around.",episode V
LUKE,Artoo,episode V
LUKE,Artoo Where are you,episode V
LUKE,Artoo You be more careful.,episode V
LUKE,Artoo -- that way,episode V
LUKE,Artoo,episode V
LUKE,"Oh, no Are you all right Come on. Youre lucky you dont taste  very good. Anything broken",episode V
LUKE,"If youre saying coming here was a bad idea, Im beginning to  agree with you. Oh, Artoo, what are we doing here Its like... something out of a dream, or, I dont know. Maybe Im just going crazy.",episode V
VADER,"Yes, Admiral",episode V
PIETT,"Our ships have sighted the Millennium Falcon, lord. But...it  has entered an asteroid field and we cannot risk...",episode V
VADER,"Asteroids do not concern me, Admiral. I want  that ship and not excuses.",episode V
PIETT,"Yes, lord.",episode V
HAN,Im going to shut down everything but the emergency power  systems.,episode V
THREEPIO,"Sir, Im almost afraid to ask, but...does that include  shutting me down, too",episode V
HAN,"No, I need you to talk to the Falcon, find out whats wrong with  the hyperdrive.",episode V
THREEPIO,"Sir, its quite possible this asteroid is not entirely  stable.",episode V
HAN,"Not entirely stable Im glad youre here to tell us these  things.  Chewie, take the professor in the back and plug him into the hyperdrive.",episode V
THREEPIO,"Oh Sometimes I just dont understand human behavior. After  all, Im only trying to do my job in the most...",episode V
LEIA,Let go.,episode V
HAN,Sshh,episode V
LEIA,"Let go, please.",episode V
HAN,Dont get excited.,episode V
LEIA,"Captain, being held by you isnt quite enough to get me excited.",episode V
HAN,"Sorry, sweetheart. We havent got time for anything else.",episode V
LUKE,Ready for some power Okay. Lets see now. Put that in there.  There you go.,episode V
LUKE,Now all I have to do is find this Yoda...if he even  exists.,episode V
LUKE,Still...theres something familiar about this place. I feel  like...I dont know...,episode V
STRANGE VOICE,Feel like what,episode V
LUKE,Like were being watched,episode V
CREATURE,Away with your weapon I mean you no harm.,episode V
CREATURE,"I am wondering, why are you here",episode V
LUKE,Im looking for someone.,episode V
CREATURE,"Looking Found someone, you have, I would say, hmmm",episode V
LUKE,Right.,episode V
CREATURE,"Help you I can. Yes, mmmm.",episode V
LUKE,I dont think so. Im looking for a great warrior.,episode V
CREATURE,Ahhh A great warrior.  Wars not  make one great.,episode V
LUKE,Put that down. Hey Thats my dinner.,episode V
CREATURE,"How you get so big, eating food of this kind",episode V
LUKE,"Listen, friend, we didnt mean to land in that puddle, and if we  could get our ship out, we would, but we cant, so why dont you just...",episode V
CREATURE,"Aww, cannot get your ship out",episode V
LUKE,"Hey, you could have broken this. Dont do that. Ohhh...youre  making a mess. Hey, give me that",episode V
CREATURE,Mine Or I will help you not.,episode V
LUKE,I dont want your help. I want my lamp back. Ill need it to get  out of this slimy mudhole.,episode V
CREATURE,Mudhole Slimy My home this is.,episode V
CREATURE,"Ah, ah, ah",episode V
LUKE,"Oh, Artoo, let him have it.",episode V
CREATURE,Mine Mine,episode V
LUKE,Artoo,episode V
CREATURE,Mine,episode V
CREATURE,Mine,episode V
LUKE,"Now will you move along, little fella Were got a lot  of work to do.",episode V
CREATURE,"No No, no Stay and help you, I will.  Find your  friend, hmm",episode V
LUKE,"Im not looking for a friend, Im looking for a Jedi Master.",episode V
CREATURE,Oohhh. Jedi Master. Yoda. You seek Yoda.,episode V
LUKE,You know him,episode V
CREATURE,"Mmm. Take you to him, I will.  Yes, yes. But now, we  must eat. Come. Good food. Come.",episode V
CREATURE,"Come, come.",episode V
LUKE,"Stay here and watch after the camp, Artoo.",episode V
THREEPIO,"Oh, where is Artoo when I need him",episode V
THREEPIO,"Sir, I dont know where your ship learned to communicate,  but it has the most peculiar dialect. I believe, sir, it says that the power coupling on the negative axis has been polarized. Im afraid youll have to replace it.",episode V
HAN,"Well, of course Ill have to replace it.",episode V
HAN,Here And Chewie...,episode V
HAN,...I think wed better replace the negative power  coupling.,episode V
HAN,"Hey, Your Worship, Im only trying to help.",episode V
LEIA,Would you please stop calling me that,episode V
HAN,"Sure, Leia.",episode V
LEIA,"Oh, you make it so difficult sometimes.",episode V
HAN,"I do, I really do. You could be a little nicer, though.  Come on, admit it. Sometimes you think Im all right.",episode V
LEIA,Occasionally  maybe...when you arent  acting like a scoundrel.,episode V
HAN,Scoundrel Scoundrel I like the sound of that.,episode V
LEIA,Stop that.,episode V
HAN,Stop what,episode V
LEIA,Stop that My hands are dirty.,episode V
HAN,"My hands are dirty, too. What are you afraid of",episode V
LEIA,Afraid,episode V
HAN,Youre trembling.,episode V
LEIA,Im not trembling.,episode V
HAN,You like me because Im a scoundrel. There arent enough  scoundrels in your life.,episode V
LEIA,I happen to like nice men.,episode V
HAN,Im a nice man.,episode V
LEIA,"No, youre not. Youre...",episode V
THREEPIO,"Sir, sir Ive isolated the reverse power flux coupling.",episode V
HAN,Thank you. Thank you very much.,episode V
THREEPIO,"Oh, youre perfectly welcome, sir.",episode V
NEEDA,"...and that, Lord Vader, was the last time they  appeared in any of our scopes. Considering the amount of damage weve sustained, they must have been destroyed.",episode V
VADER,"No, Captain, theyre alive. I want every ship available to  sweep the asteroid field until they are found.",episode V
PIETT,Lord Vader.,episode V
VADER,"Yes, Admiral, what is it",episode V
PIETT,The Emperor commands you make contact with him.,episode V
VADER,Move the ship out of the asteroid field so that we can send a  clear transmission.,episode V
PIETT,"Yes, my lord.",episode V
VADER,"What is thy bidding, my master",episode V
EMPEROR,There is a great disturbance in the Force.,episode V
VADER,I have felt it.,episode V
EMPEROR,We have a new enemy -- Luke Skywalker.,episode V
VADER,"Yes, my master.",episode V
EMPEROR,He could destroy us.,episode V
VADER,Hes just a boy. Obi-Wan can no longer help him.,episode V
EMPEROR,The Force is strong with him. The son of Skywalker must not  become a Jedi.,episode V
VADER,"If he could be turned, he would become a powerful ally.",episode V
EMPEROR,Yes. Yes. He would be a great asset. Can it be done,episode V
VADER,"He will join us or die, my master.",episode V
LUKE,"Look, Im sure its delicious. I just dont understand why we  cant see Yoda now.",episode V
CREATURE,"Patience For the Jedi it is time to eat as well. Eat, eat.  Hot. Good food, hm Good, hmm",episode V
LUKE,How far away is Yoda Will it take us long to get there,episode V
CREATURE,"Not far. Yoda not far. Patience. Soon you will be with him.   Rootleaf, I cook. Why wish you become Jedi Hm",episode V
LUKE,"Mostly because of my father, I guess.",episode V
CREATURE,"Ah, your father. Powerful Jedi was he, powerful Jedi, mmm.",episode V
LUKE,"Oh, come on. How could you know my father You  dont even know who I am.  Oh, I dont even know what Im doing here. Were wasting our time.",episode V
CREATURE,I cannot teach him. The boy has no patience.,episode V
BEN,He will learn patience.,episode V
YODA,"Hmmm. Much anger in him, like his father.",episode V
BEN,Was I any different when you taught me,episode V
YODA,Hah. He is not ready.,episode V
LUKE,"Yoda I am ready. I...Ben I can be a Jedi. Ben, tell him Im  ready.",episode V
YODA,"Ready, are you What know you of ready For eight hundred years  have I trained Jedi. My own counsel will I keep on who is to be trained A Jedi must have the deepest commitment, the most serious mind.  This one a long time have I watched. Never his mind on where he was. Hmm What he was doing. Hmph. Adventure. Heh Excitement. Heh A Jedi craves not these things.  You are reckless",episode V
BEN,"So was I, if youll remember.",episode V
YODA,"He is too old. Yes, too old to begin the training.",episode V
LUKE,But Ive learned so much.,episode V
YODA,Will he finished what he begins,episode V
LUKE,I wont fail you -- Im not afraid.,episode V
YODA,"Oh, you will be. You will be.",episode V
THREEPIO,"Sir, if I may venture an opinion...",episode V
HAN,"Im not really interested in your opinion, Threepio.",episode V
LEIA,Theres something out there.,episode V
HAN,Where,episode V
LEIA,"Outside, in the cave.",episode V
THREEPIO,There it is. Listen Listen,episode V
HAN,Im going out there.,episode V
LEIA,Are you crazy,episode V
HAN,I just got this bucket back together. Im not going to let  something tear it apart.,episode V
LEIA,Then Im going with you.,episode V
THREEPIO,"I think it might be better if I stay here and guard the  ship.  Oh, no.",episode V
LEIA,This ground sure feels strange. It doesnt feel like rock at  all.,episode V
HAN,Theres an awful lot of moisture in here.,episode V
LEIA,I dont know. I have a bad feeling about this.,episode V
HAN,Yeah.,episode V
HAN,Watch out,episode V
HAN,"Yeah, thats what I thought. Mynock. Chewie, check the rest of  the ship, make sure there arent any more attached. Theyre chewing on the power cables.",episode V
LEIA,Mynocks,episode V
HAN,Go on inside. Well clean them off if there are any more.,episode V
THREEPIO,Ohhh Go away Go away Beastly thing. Shoo Shoo,episode V
HAN,Wait a minute...,episode V
HAN,"All right, Chewie, lets get out of here",episode V
LEIA,The Empire is still out there. I dont think its wise to...,episode V
HAN,No time to discuss this as a committee.,episode V
LEIA,I am not a committee,episode V
LEIA,You cant make the jump to light-speed in this asteroid field...,episode V
HAN,"Sit down, sweetheart. Were taking off",episode V
THREEPIO,Look,episode V
HAN,"I see it, I see it.",episode V
THREEPIO,Were doomed,episode V
LEIA,The cave is collapsing.,episode V
HAN,This is no cave.,episode V
LEIA,What,episode V
YODA,"Run Yes. A Jedis strength flows from the Force. But beware of  the dark side. Anger...fear...aggression. The dark side of the Force are they. Easily they flow, quick to join you in a fight. If once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did Obi-Wans apprentice.",episode V
LUKE,Vader. Is the dark side stronger,episode V
YODA,"No...no...no. Quicker, easier, more seductive.",episode V
LUKE,But how am I to know the good side from the bad,episode V
YODA,"You will know. When you are calm, at peace. Passive. A Jedi uses  the Force for knowledge and defense, never for attack.",episode V
LUKE,But tell me why I cant...,episode V
YODA,"No, no, there is no why. Nothing more will I  teach you today. Clear your mind of questions. Mmm. Mmmmmm.",episode V
LUKE,Theres something not right here.,episode V
LUKE,"I feel cold, death.",episode V
YODA,That place...is strong with the dark side of the Force. A domain  of evil it is. In you must go.,episode V
LUKE,Whats in there,episode V
YODA,Only what you take with you.,episode V
YODA,Your weapons...you will not need them.,episode V
PIETT,Bounty hunters. We dont need that scum.,episode V
FIRST CONTROLLER,"Yes, sir.",episode V
PIETT,Those Rebels wont escape us.,episode V
SECOND CONTROLLER,"Sir, we have a priority signal from the Star  Destroyer Avenger.",episode V
PIETT,Right.,episode V
VADER,"...there will be a substantial reward for the one who finds  the Millennium Falcon. You are free to use any methods necessary, but I want them alive. No disintegrations.",episode V
BOBA FETT,As you wish.,episode V
PIETT,"Lord Vader My lord, we have them.",episode V
THREEPIO,"Oh, thank goodness were coming out of the asteroid field.",episode V
HAN,Lets get out of here. Ready for light-speed One...two...three,episode V
HAN,Its not fair,episode V
HAN,The transfer circuits are working. Its not my fault,episode V
LEIA,No light-speed,episode V
HAN,Its not my fault.,episode V
THREEPIO,"Sir, we just lost the main rear deflector shield. One more  direct hit on the back quarter and were done for.",episode V
HAN,Turn her around.,episode V
HAN,I said turn her around Im going to put all power in the front  shield.,episode V
LEIA,Youre going to attack them,episode V
THREEPIO,"Sir, the odds of surviving a direct assault on an Imperial  Star Destroyer...",episode V
LEIA,Shut up,episode V
NEEDA,Theyre moving to attack position. Shields up,episode V
NEEDA,"Track them,. They may come around for another pass.",episode V
TRACKING OFFICER,"Captain Needa, the ship no longer appears on our  scopes.",episode V
NEEDA,They cant have disappeared. No ship that small has a cloaking  device.,episode V
TRACKING OFFICER,"Well, theres no trace of them, sir.",episode V
COMMUNICATIONS OFFICER,"Captain, Lord Vader demands an update on the  pursuit.",episode V
NEEDA,"Get a shuttle ready. I shall assume full  responsibility for losing them, and apologize to Lord Vader. Meanwhile, continue to scan the area.",episode V
COMMUNICATIONS OFFICER,"Yes, Captain Needa.",episode V
YODA,Use the Force. Yes...,episode V
YODA,Now...the stone. Feel it.,episode V
YODA,Concentrate,episode V
LUKE,"Oh, no. Well never get it out now.",episode V
YODA,So certain are you. Always with you it cannot be done. Hear you  nothing that I say,episode V
LUKE,"Master, moving stones around is one thing. This is totally  different.",episode V
YODA,No No different Only different in your mind. You must unlearn  what you have learned.,episode V
LUKE,"All right, Ill give it a try.",episode V
YODA,No Try not. Do. Or do not. There is no try.,episode V
LUKE,I cant. Its too big.,episode V
YODA,"Size matters not. Look at me. Judge me by my size, do you Hm  Mmmm.",episode V
YODA,"And well you should not. For my ally in the Force. And a  powerful ally it is. Life creates it, makes it grow. Its energy surrounds us and binds us. Luminous beings are we......not this crude matter.  You must feel the Force around you.  Here, between you...me...the tree...the rock...everywhere Yes, even between this land and that ship",episode V
LUKE,You want the impossible.,episode V
LUKE,I dont...I dont believe it.,episode V
YODA,That is why you fail.,episode V
VADER,"Apology accepted, Captain Needa.",episode V
PIETT,"Lord Vader, our ships have completed their scan of the area and  found nothing. If the Millennium Falcon went into light-speed, itll be on the other side of the galaxy by now.",episode V
VADER,Alert all commands. Calculate every possible destination along  their last know trajectory.,episode V
PIETT,"Yes, my lord. Well find them.",episode V
VADER,"Dont fail me again, Admiral.",episode V
PIETT,Alert all commands. Deploy the fleet.,episode V
THREEPIO,"Captain Solo, this time you have gone too far.  No, I will not be quiet, Chewbacca. Why doesnt anyone listen to me",episode V
HAN,The fleet is beginning to break up. Go back and stand  by the manual release for the landing claw.,episode V
THREEPIO,I really dont see how thats going to help. Surrender is a  perfectly acceptable alternative in extreme circumstances. The Empire may be gracious enough...,episode V
HAN,Thank you.,episode V
LEIA,What did you have in mind for your next move,episode V
HAN,"Well, if they follow standard Imperial procedure, theyll dump  their garbage before they go to light-speed, then we just float away.",episode V
LEIA,With the rest of the garbage. Then what,episode V
HAN,Then weve got to find a safe port somewhere around here. Got any  ideas,episode V
LEIA,No. Where are we,episode V
HAN,The Anoat system.,episode V
LEIA,Anoat system. Theres not much there.,episode V
HAN,"No. Well, wait. This is interesting. Lando.",episode V
LEIA,Lando system,episode V
HAN,"Landos not a system, hes a man. Lando Calrissian. Hes a card  player, gambler, scoundrel. Youd like him.",episode V
LEIA,Thanks.,episode V
HAN,"Bespin. Its pretty far, but I think we can make it.",episode V
LEIA,A mining colony,episode V
HAN,"Yeah, a Tibanna gas mine. Lando conned somebody out of it. We go  back a long way, Lando and me.",episode V
LEIA,Can you trust him,episode V
HAN,"No. But he has no love for the Empire, I can tell you that.",episode V
HAN,"Here we go, Chewie. Stand by. Detach",episode V
LEIA,"You do have your moments. Not many, but you have them.",episode V
YODA,"Concentrate...feel the Force flow. Yes. Good. Calm, yes. Through  the Force, things you will see. Other places. The future...the past. Old friends long gone.",episode V
LUKE,Han Leia,episode V
YODA,"Hmm. Control, control. You must learn control.",episode V
LUKE,I saw...I saw a city in the clouds.,episode V
YODA,Mmm. Friends you have there.,episode V
LUKE,They were in pain.,episode V
YODA,It is the future you see.,episode V
LUKE,Future Will they die,episode V
YODA,Difficult to see. Always in motion is the future.,episode V
LUKE,Ive got to go to them.,episode V
YODA,"Decide you must how to serve them best. If you leave now, help  them you could. But you would destroy all for which they have fought and suffered.",episode V
HAN,"No, I dont have a landing permit. Im trying  to reach Lando Calrissian.",episode V
HAN,Whoa Wait a minute Let me explain.,episode V
INTERCOM VOICE,You will not deviate from your present course.,episode V
THREEPIO,"Rather touchy, arent they",episode V
LEIA,I thought you knew this person.,episode V
HAN,"Well, that was a long time ago. Im sure hes  forgotten about that.",episode V
INTERCOM VOICE,Permission granted to land on Platform  Three-two-seven.,episode V
HAN,Thank you.,episode V
HAN,"Theres nothing to worry about. We go way back, Lando and me.",episode V
LEIA,Whos worried,episode V
THREEPIO,Oh. No one to meet us.,episode V
LEIA,I dont like this.,episode V
HAN,"Well, what would you like",episode V
THREEPIO,"Well, they did let us land.",episode V
HAN,"Look, dont worry. Everythings going to be fine. Trust me.",episode V
HAN,"See My friend.  Keep your eyes open, okay",episode V
LANDO,"Why, you slimy, double-crossing, no-good swindler Youve got a  lot of guts coming here, after what you pulled.",episode V
LANDO,"How you doing, you old pirate So good to see you I  never thought Id catch up with you again. Where you been",episode V
THREEPIO,"Well, he seems very friendly.",episode V
LEIA,Yes...very friendly.,episode V
LANDO,What are you doing here,episode V
HAN,Ahh...repairs. I thought you could  help me out.,episode V
LANDO,What have you done to my ship,episode V
HAN,"Your ship Hey, remember, you lost her to me fair and square.",episode V
LANDO,Hello. What have we here Welcome. Im Lando Calrissian. Im  the administrator of this facility. and who might you be,episode V
LEIA,Leia.,episode V
LANDO,"Welcome, Leia.",episode V
HAN,"All right, all right, you old smoothie.",episode V
THREEPIO,"Hello, sir. I am See-Threepio, human-cyborg relations. My  facilities are at your...",episode V
THREEPIO,"Well, really",episode V
LANDO,Whats wrong with the Falcon,episode V
HAN,Hyperdrive.,episode V
LANDO,Ill get my people to work on it.,episode V
HAN,Good.,episode V
LANDO,"You know, that ship saved my life quite a few times. Shes the  fastest hunk of junk in the galaxy.",episode V
HAN,Hows the gas mine Is it paying off for you,episode V
LANDO,"Oh, not as well as Id like. Were a small outpost and not very  self-sufficient. And Ive had supply problems of every kind. Ive had labor difficulties... Whats so funny",episode V
HAN,"You. Listen to you -- you sound like a businessman, a responsible  leader. Whod have thought that, huh",episode V
LANDO,"You know, seeing you sure brings back a few things.",episode V
HAN,Yeah.,episode V
LANDO,"Yeah, Im responsible these days. Its the  price you pay for being successful.",episode V
THREEPIO,Oh Nice to see a familiar face.,episode V
SECOND THREEPIO,E chu ta,episode V
THREEPIO,How rude,episode V
THREEPIO,That sounds like an R2 unit in there. I wonder if...,episode V
THREEPIO,"Hello How interesting. Oh, my.",episode V
MAN,Who are you,episode V
THREEPIO,"Oh, Im terribly sorry. I...I didnt mean to intrude. No,  no, please dont get up. No",episode V
YODA,Luke You must complete the training.,episode V
LUKE,I cant keep the vision out of my head. Theyre my friends. Ive  got to help them.,episode V
YODA,You must not go,episode V
LUKE,But Han and Leia will die if I dont.,episode V
BEN,You dont know that.,episode V
BEN,Even Yoda cannot see their fate.,episode V
LUKE,But I can help them I feel the Force,episode V
BEN,"But you cannot control it. This is a dangerous time for you, when  you will be tempted by the dark side of the Force.",episode V
YODA,"Yes, yes. To Obi-Wan you listen. The cave. Remember your failure  at the cave",episode V
LUKE,"But Ive learned so much since then. Master Yoda, I promise to  return and finish what Ive begun. You have my word.",episode V
BEN,It is you and your abilities the Emperor wants. that is why your  friends are made to suffer.,episode V
LUKE,And that is why I have to go.,episode V
BEN,"Luke, I dont want to lose you to the Emperor the way I lost  Vader.",episode V
LUKE,You wont.,episode V
YODA,"Stopped they must be. On this depends. Only a fully trained Jedi  Knight with the Force as his ally will conquer Vader and his Emperor. If you end your training now, if you choose the quick and easy path, as Vader did, you will become an agent of evil.",episode V
BEN,Patience.,episode V
LUKE,And sacrifice Han and Leia,episode V
YODA,If you honor what they fight for...yes,episode V
BEN,"If you choose to face Vader, you will do it alone. I cannot  interfere.",episode V
LUKE,"I understand.  Artoo, fire up the  converters.",episode V
BEN,"Luke, dont give in to hate -- that leads to the dark side.",episode V
YODA,Strong is Vader. Mind what you have learned. Save you it can.,episode V
LUKE,I will. And Ill return. I promise.,episode V
YODA,"Told you, I did. Reckless is he. Now matters are worse.",episode V
BEN,That boy is our last hope.,episode V
YODA,No. There is another.,episode V
HAN,The ship is almost finished. Two or Three more things and were  in great shape.,episode V
LEIA,The sooner the better. Somethings wrong here. No one has seen  or knows anything about Threepio. Hes been gone too long to have gotten lost.,episode V
HAN,Relax. Ill talk to Lando and see what I can find out.,episode V
LEIA,I dont trust Lando.,episode V
HAN,"Well, I dont trust him, either. But he is my friend. Besides,  well soon be gone.",episode V
LEIA,"And then youre as good as gone, arent you",episode V
LEIA,What happened,episode V
HAN,Where Found him in a junk pile,episode V
LEIA,"Oh, what a mess. Chewie, do you think you can repair him",episode V
HAN,Landos got people who can fix him.,episode V
LEIA,"No, thanks.",episode V
LANDO,Im sorry. Am I interrupting anything,episode V
LEIA,Not really.,episode V
LANDO,You look absolutely beautiful. You truly belong here with us  among the clouds.,episode V
LEIA,Thank you.,episode V
LANDO,Will you join me for a little refreshment,episode V
LANDO,"Everyones invited, of course.",episode V
LANDO,Having trouble with you droid,episode V
HAN,No. No problem. Why,episode V
LANDO,"So you see, since were a small operation, we dont fall into  the...uh...jurisdiction of the Empire.",episode V
LEIA,So youre part of the mining guild then,episode V
LANDO,"No, not actually. Our operation is small enough not to be  noticed...which is advantageous for everybody since our customers are anxious to avoid attracting attention to themselves.",episode V
HAN,Arent you afraid the Empires going to find out about this  little operation and shut you down,episode V
LANDO,Thats always been a danger looming like a shadow over  everything weve built here. But things have developed that will insure security. Ive just made a deal that will keep the Empire out of here forever.,episode V
VADER,We would be honored if you would join us.,episode V
LANDO,I had no choice. They arrived right before you did. Im sorry.,episode V
HAN,"Im sorry, too.",episode V
LUKE,"No, Threepios with them.",episode V
LUKE,Just hang on. Were almost there.,episode V
