character,dialogue,episode
THREEPIO,"Oh, he says its nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind.",episode IV
LUKE,Who is she  Shes beautiful.,episode IV
THREEPIO,"Im afraid Im not quite sure, sir.",episode IV
LEIA,"Help me, Obi-Wan Kenobi...",episode IV
THREEPIO,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to...",episode IV
LUKE,Is there more to this recording,episode IV
THREEPIO,"Behave yourself, Artoo.  Youre going to get us in trouble.  Its all right, you can trust him.  Hes our new master.",episode IV
THREEPIO,"He says hes the property of Obi-Wan Kenobi, a resident of these parts.  And its a private message for him.  Quite frankly, sir, I dont know what hes talking about.  Our last master was Captain Antilles, but with what weve been through, this little R2 unit has become a bit eccentric.",episode IV
LUKE,Obi-Wan Kenobi  I wonder if he means old Ben Kenobi,episode IV
THREEPIO,"I beg your pardon, sir, but do you know what hes talking about",episode IV
LUKE,"Well, I dont know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  Hes kind of a strange old hermit.",episode IV
LUKE,I wonder who she is.  It sounds like shes in trouble.  Id better play back the whole thing.,episode IV
THREEPIO,"He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording.",episode IV
LUKE,"Hm  Oh, yeah, well, I guess youre too small to run away on me if I take this off  Okay.",episode IV
LUKE,There you go.,episode IV
LUKE,"Well, wait a minute.  Whered she go  Bring her back  Play back the entire message.",episode IV
THREEPIO,been playing.  The one youre carrying inside your rusty innards ,episode IV
AUNT BERU,Luke  Luke  Come to dinner,episode IV
LUKE,"All right, Ill be right there, Aunt Beru.",episode IV
THREEPIO,"Im sorry, sir, but he appears to have picked up a slight flutter.",episode IV
LUKE,"Well, see what you can do with him.  Ill be right back.",episode IV
THREEPIO,Just you reconsider playing that message for him.,episode IV
THREEPIO,"No, I dont think he likes you at all.",episode IV
THREEPIO,"No, I dont like you either.",episode IV
LUKE,"You know, I think that R2 unit we bought might have been stolen.",episode IV
OWEN,What makes you think that,episode IV
LUKE,"Well, I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi.",episode IV
LUKE,"I thought he might have meant Ben.  Do you know what hes talking about  Well, I wonder if hes related to Ben.",episode IV
OWEN,That old mans just a crazy wizard.  Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed.  Thatll be the end of it.  It belongs to us now.,episode IV
LUKE,But what if this Obi-Wan comes looking for him,episode IV
OWEN,"He wont, I dont think he exists any more.  He died about the same time as your father.",episode IV
LUKE,He knew my father,episode IV
OWEN,I told you to forget it.  Your only concern is to prepare the new droids for tomorrow.  In the morning I want them on the south ridge working out those condensers.,episode IV
LUKE,"Yes, sir.  I think those new droids are going to work out fine.  In fact, I, uh, was also thinking about our agreement about my staying on another season.  And if these new droids do work out, I want to transmit my application to the Academy this year.",episode IV
OWEN,You mean the next semester before harvest,episode IV
LUKE,"Sure, therere more than enough droids.",episode IV
OWEN,Harvest is when I need you the most.  Only one more season.  This year well make enough on the harvest so Ill be able to hire some more hands.  And then you can go to the Academy next year.,episode IV
OWEN,"You must understand I need you here, Luke.",episode IV
LUKE,But its a whole nother year.,episode IV
OWEN,"Look, its only one more season.",episode IV
LUKE,"Yeah, thats what you said last year when Biggs and Tank left.",episode IV
AUNT BERU,Where are you going,episode IV
LUKE,It looks like Im going nowhere.  I have to finish cleaning those droids.,episode IV
AUNT BERU,"Owen, he cant stay here forever.  Most of his friends have gone.  It means so much to him.",episode IV
OWEN,Ill make it up to him next year.  I promise.,episode IV
AUNT BERU,"Lukes just not a farmer, Owen.  He has too much of his father in him.",episode IV
OWEN,Thats what Im afraid of.,episode IV
LUKE,What are you doing hiding there,episode IV
